Country,Region,Constituency,Station
The Gambia,Brikama,Brikama North,Brikama Darukhairu Mosque
The Gambia,Brikama,Brikama North,Brikama Kabafita Mosque
The Gambia,Brikama,Brikama North,Brikama Misira Mosque
The Gambia,Brikama,Brikama North,Brikama Nema Geebungoto (Comm Dev.)
The Gambia,Brikama,Brikama North,Brikama Nemataba Girl Guides Centre
The Gambia,Brikama,Brikama North,Brikama Nyambai Baba Galleh Mosque
The Gambia,Brikama,Brikama North,Brikama Nyambai College Market
The Gambia,Brikama,Brikama North,Brikama Nyambai Jambarr Sanneh (Methodist Sch Gate)
The Gambia,Brikama,Brikama North,Brikama Wellingara Praying Grounds
The Gambia,Brikama,Brikama North,Busuranding Bantaba
The Gambia,Brikama,Brikama North,Farato Bojang Kunda (Sotokoi Daru) Bantaba
The Gambia,Brikama,Brikama North,Jalambang Mosque
The Gambia,Brikama,Brikama North,Jamisa Bantaba
The Gambia,Brikama,Brikama North,Kassakunda Bantaba
The Gambia,Brikama,Brikama North,Kembujeh Bantaba
The Gambia,Brikama,Brikama North,Kembujeh Medina Sch Ground
The Gambia,Brikama,Brikama North,Kubuneh Skill Centre
The Gambia,Brikama,Brikama North,New Town North (Mother Ali Nur. Sch.)
The Gambia,Brikama,Brikama North,Serekunda Nding Skill Centre
The Gambia,Brikama,Brikama North,Taibatou Bantaba
The Gambia,Brikama,Brikama South,Bakary Sambou Yaa Mosque
The Gambia,Brikama,Brikama South,Brikama  Perseverance Praying Ground
The Gambia,Brikama,Brikama South,Brikama Bojang Kunda Bantaba
The Gambia,Brikama,Brikama South,Brikama Darsilameh (Near Alkalo'S Compound)
The Gambia,Brikama,Brikama South,Brikama Gidda (School Area)
The Gambia,Brikama,Brikama South,Brikama Gidda Bantaba
The Gambia,Brikama,Brikama South,Brikama Hawla Kunda (Kabilo Head Comp. Gate)
The Gambia,Brikama,Brikama South,Brikama Mansaringsu Bantaba
The Gambia,Brikama,Brikama South,Brikama Medina Bantaba
The Gambia,Brikama,Brikama South,Brikama Newtown South Mosque
The Gambia,Brikama,Brikama South,Brikama Perseverance Bantaba
The Gambia,Brikama,Brikama South,Brikama Sanneh Kunda Bantaba
The Gambia,Brikama,Brikama South,Brikama Santuso Nursery Sch.
The Gambia,Brikama,Brikama South,Brikama Suma Kunda Bantaba
The Gambia,Brikama,Brikama South,Busura Clinic
The Gambia,Brikama,Brikama South,Darsilameh Health Centre
The Gambia,Brikama,Brikama South,Jamwelly Bantaba
The Gambia,Brikama,Brikama South,Kabakel Outside Sch
The Gambia,Brikama,Brikama South,Kitty Bantaba
The Gambia,Brikama,Brikama South,Manduar Bantaba
The Gambia,Brikama,Brikama South,Marakissa Bantaba
The Gambia,Brikama,Brikama South,Penyem  Bantaba
The Gambia,Brikama,Busumbala,Banjulunding Comm. Centre.
The Gambia,Brikama,Busumbala,Banjulunding Seed Store
The Gambia,Brikama,Busumbala,Busumbala Bantaba
The Gambia,Brikama,Busumbala,Busumbala Guigi Bantaba
The Gambia,Brikama,Busumbala,Busumbala Model Sukoto Bantaba
The Gambia,Brikama,Busumbala,Busumbala Tintinba Mosque
The Gambia,Brikama,Busumbala,Daranka Village Hall
The Gambia,Brikama,Busumbala,Daru Busumbala Bantaba
The Gambia,Brikama,Busumbala,Kombo Kerewan Bantaba
The Gambia,Brikama,Busumbala,Kubariko Bantaba
The Gambia,Brikama,Busumbala,Kunkujang Jatta Yaa Bantaba
The Gambia,Brikama,Busumbala,Lamin Babylon Football Field
The Gambia,Brikama,Busumbala,Lamin Cambodia
The Gambia,Brikama,Busumbala,Lamin Gamtrade Training Centre (Opposite)
The Gambia,Brikama,Busumbala,Lamin Health Centre
The Gambia,Brikama,Busumbala,Lamin Sda School
The Gambia,Brikama,Busumbala,Lamin St. Peter'S Pri Sch (Behind Petrol Station)
The Gambia,Brikama,Busumbala,Makumbaya Garage
The Gambia,Brikama,Busumbala,Mandinary Dutokoto
The Gambia,Brikama,Busumbala,New Yundum Bantba
The Gambia,Brikama,Busumbala,New Yundum Pri Sch
The Gambia,Brikama,Busumbala,New Yundum Sadinka
The Gambia,Brikama,Busumbala,Yaram Bamba Estate Mosque
The Gambia,Brikama,Foni Bintang,Arangalen Bantaba
The Gambia,Brikama,Foni Bintang,Bajagarr Bantaba
The Gambia,Brikama,Foni Bintang,Batabut Kantora
The Gambia,Brikama,Foni Bintang,Batending Kajera Bantaba
The Gambia,Brikama,Foni Bintang,Bintang Bantaba
The Gambia,Brikama,Foni Bintang,Bullanjorr Bantaba
The Gambia,Brikama,Foni Bintang,Jakoi Sibirick
The Gambia,Brikama,Foni Bintang,Janack Bantaba
The Gambia,Brikama,Foni Bintang,Kansanyi Ecd
The Gambia,Brikama,Foni Bintang,Kusamai Bantaba
The Gambia,Brikama,Foni Bintang,Sibanor Bantaba
The Gambia,Brikama,Foni Bintang,Tampoto
The Gambia,Brikama,Foni Bondali,Bantanjang Bantaba
The Gambia,Brikama,Foni Bondali,Bondali Jola Chief'S Quarter
The Gambia,Brikama,Foni Bondali,Chabai Bantaba
The Gambia,Brikama,Foni Bondali,Kankurang Bantaba
The Gambia,Brikama,Foni Bondali,Mayork Health Centre
The Gambia,Brikama,Foni Brefet,Bajana Bantaba
The Gambia,Brikama,Foni Brefet,Bereft Bantaba
The Gambia,Brikama,Foni Brefet,Bessi Ccf
The Gambia,Brikama,Foni Brefet,Bulock Bantaba
The Gambia,Brikama,Foni Brefet,Ndemban Tenda Bantaba
The Gambia,Brikama,Foni Brefet,Somita Ccf
The Gambia,Brikama,Foni Brefet,Sutusinjang Day Care Centre
The Gambia,Brikama,Foni Jarrol,Arankon Kunda Bantaba
The Gambia,Brikama,Foni Jarrol,Kalagi Bantaba
The Gambia,Brikama,Foni Jarrol,Kanmamudou Ecd
The Gambia,Brikama,Foni Jarrol,Sintet Health Centre
The Gambia,Brikama,Foni Jarrol,Wassadou Bantaba
The Gambia,Brikama,Foni Kansala,Bwiam Ccf
The Gambia,Brikama,Foni Kansala,Darsilameh Bantaba
The Gambia,Brikama,Foni Kansala,Dobong Bantaba
The Gambia,Brikama,Foni Kansala,Jekesi Dandoni Bantaba
The Gambia,Brikama,Foni Kansala,Kampant Anglican Church
The Gambia,Brikama,Foni Kansala,Kanfendi Bantaba
The Gambia,Brikama,Foni Kansala,Kanilai Pri. Sch.
The Gambia,Brikama,Foni Kansala,Sanghajorr Health Centre
The Gambia,Brikama,Kombo East,Basori Bantaba
The Gambia,Brikama,Kombo East,Bonto Kuta Jalokoto Bantaba
The Gambia,Brikama,Kombo East,Faraba Banta Banatba
The Gambia,Brikama,Kombo East,Faraba Sutu Ccf .
The Gambia,Brikama,Kombo East,Giboro Kuta Bantaba
The Gambia,Brikama,Kombo East,Kafuta Bantaba
The Gambia,Brikama,Kombo East,Kairaba (Faraba Manokang) Bantaba
The Gambia,Brikama,Kombo East,Kuloro Bantaba
The Gambia,Brikama,Kombo East,Mandinaba Bantaba
The Gambia,Brikama,Kombo East,Medina Sokotoi Bantaba
The Gambia,Brikama,Kombo East,Omorto Skill Centre
The Gambia,Brikama,Kombo East,Pirang Bantaba
The Gambia,Brikama,Kombo East,Pirang Berending Bantaba
The Gambia,Brikama,Kombo East,Pirang Berending Darusalam
The Gambia,Brikama,Kombo East,Sohm Health Centre
The Gambia,Brikama,Kombo East,Tuba Kuta Bantaba
The Gambia,Brikama,Kombo South,Banyaka Bantaba
The Gambia,Brikama,Kombo South,Batokunku ( Near Nursery Sch.)
The Gambia,Brikama,Kombo South,Batokunku Skill Centre (Near Mosque)
The Gambia,Brikama,Kombo South,Berending Bantaba
The Gambia,Brikama,Kombo South,Farato (Sanchaba) Outside Alkalo'S Compound
The Gambia,Brikama,Kombo South,Farato Mosque
The Gambia,Brikama,Kombo South,Farato Nema Mosque
The Gambia,Brikama,Kombo South,Farato New Town Mosque
The Gambia,Brikama,Kombo South,Gunjur (By The Pri Sch)
The Gambia,Brikama,Kombo South,Gunjur Health Centre
The Gambia,Brikama,Kombo South,Gunjur Kunkujang Bantaba
The Gambia,Brikama,Kombo South,Jambanjelly Market
The Gambia,Brikama,Kombo South,Jambur Bantaba
The Gambia,Brikama,Kombo South,Kartong Health Centre
The Gambia,Brikama,Kombo South,Kunkujang Mariama Bantaba
The Gambia,Brikama,Kombo South,Medina Salam (Centre)
The Gambia,Brikama,Kombo South,Nyofelleh Bantaba
The Gambia,Brikama,Kombo South,Rumba Bantaba
The Gambia,Brikama,Kombo South,Sanyang Bantaba
The Gambia,Brikama,Kombo South,Siffoe Ccf
The Gambia,Brikama,Kombo South,Tanji B
The Gambia,Brikama,Kombo South,Tanji Comm. Centre
The Gambia,Brikama,Kombo South,Tujereng (Around Sen Sec Sch)
The Gambia,Brikama,Kombo South,Tujereng Bantaba
The Gambia,Brikama,Old Yundum,Jabang Mosque
The Gambia,Brikama,Old Yundum,Kunkujang Keita Yaa  Central Mosque
The Gambia,Brikama,Old Yundum,Latriya Health Centre
The Gambia,Brikama,Old Yundum,Mariama Kunda Bantaba
The Gambia,Brikama,Old Yundum,Medina Baliya (Sinchu Baliya ) Mosque.
The Gambia,Brikama,Old Yundum,Medina Sey Kunda (Sinchu Alagi) 2
The Gambia,Brikama,Old Yundum,Medina Sey Kunda (Sinchu Alagi) Bantaba
The Gambia,Brikama,Old Yundum,Nema Nasir
The Gambia,Brikama,Old Yundum,Nemakunku
The Gambia,Brikama,Old Yundum,Old Yundum Bantaba
The Gambia,Brikama,Old Yundum,Sinchu Sorrie Nursery Sch.
The Gambia,Brikama,Old Yundum,Tawuto Bantaba
The Gambia,Brikama,Old Yundum,Wellingara  Red Cross Bantaba
The Gambia,Brikama,Old Yundum,Wellingara (Behind Jah Oil Petrol Station)
The Gambia,Brikama,Old Yundum,Youna Bantaba
The Gambia,Brikama,Sanneh Mentereng,Kerr Serign (Hamdalaye) Central Mosque
The Gambia,Brikama,Sanneh Mentereng,Bijilo Bantaba
The Gambia,Brikama,Sanneh Mentereng,Brufut 2
The Gambia,Brikama,Sanneh Mentereng,Brufut Father'S Sch. (Dutabakoto)
The Gambia,Brikama,Sanneh Mentereng,Brufut Pri. Sch.  (Behind Market)
The Gambia,Brikama,Sanneh Mentereng,Brusubi Estate Phase Two 2
The Gambia,Brikama,Sanneh Mentereng,Brusubi Estate Sample House
The Gambia,Brikama,Sanneh Mentereng,Mediana Mosque
The Gambia,Brikama,Sanneh Mentereng,Salagi (Opp. Nawec Water Plant)
The Gambia,Brikama,Sanneh Mentereng,Sanchaba Sulay Jobe (Outside Alkalo'S Comp.)
The Gambia,Brikama,Sanneh Mentereng,Sanchaba Sulay Jobe (Skill Centre)
The Gambia,Brikama,Sanneh Mentereng,Sukuta Arabic Sch.
The Gambia,Brikama,Sanneh Mentereng,Sukuta Cinema Hall
The Gambia,Brikama,Sanneh Mentereng,Sukuta Jamisa ( By The Metal Workshop)
The Gambia,Brikama,Sanneh Mentereng,Sukuta Nema Bani Israel Mosque
The Gambia,Brikama,Sanneh Mentereng,Sukuta Sec Sch (Library)
The Gambia,Brikama,Sanneh Mentereng,Sukuta Talaba Koto ( By The Central Mosque)
The Gambia,Brikama,Sanneh Mentereng,Sukuta Tumbungto Bantaba
The Gambia,Brikama,Sanneh Mentereng,Tranquil Mosque
The Gambia,Brikama,Sanneh Mentereng,Wuling Kama Opp. Alkalo'S Comp.
The Gambia,Janjanbureh,Janjanbureh,Janjanbureh (Mccarhty)
The Gambia,Janjanbureh,Lower Fulladu West,Boyram Denton
The Gambia,Janjanbureh,Lower Fulladu West,Brikamaba
The Gambia,Janjanbureh,Lower Fulladu West,Brikmanding
The Gambia,Janjanbureh,Lower Fulladu West,Dasilameh
The Gambia,Janjanbureh,Lower Fulladu West,Faraba
The Gambia,Janjanbureh,Lower Fulladu West,Fass Abdou
The Gambia,Janjanbureh,Lower Fulladu West,Fulabantang
The Gambia,Janjanbureh,Lower Fulladu West,Gidda
The Gambia,Janjanbureh,Lower Fulladu West,Jahally
The Gambia,Janjanbureh,Lower Fulladu West,Kerewan Fula (Kerewan Samba Sira)
The Gambia,Janjanbureh,Lower Fulladu West,Kerewan Mandinka
The Gambia,Janjanbureh,Lower Fulladu West,Madina Mfally
The Gambia,Janjanbureh,Lower Fulladu West,Misera Joben
The Gambia,Janjanbureh,Lower Fulladu West,Patcharr
The Gambia,Janjanbureh,Lower Fulladu West,Sankulay Kunda
The Gambia,Janjanbureh,Lower Fulladu West,Sare Malang
The Gambia,Janjanbureh,Lower Fulladu West,Sare Ngai-Tabanding Ngai
The Gambia,Janjanbureh,Lower Fulladu West,Saruja
The Gambia,Janjanbureh,Lower Fulladu West,Taifa Chendou (Taifa Saikou)
The Gambia,Janjanbureh,Lower Saloum,Ballanghar Jalato
The Gambia,Janjanbureh,Lower Saloum,Ballanghar Kerr Layin.
The Gambia,Janjanbureh,Lower Saloum,Ballanghar.Kerr Nderri
The Gambia,Janjanbureh,Lower Saloum,Gengi Wollof
The Gambia,Janjanbureh,Lower Saloum,Jahour Mandinka
The Gambia,Janjanbureh,Lower Saloum,Jimbala Felungo
The Gambia,Janjanbureh,Lower Saloum,Kaur Janneh Kunda
The Gambia,Janjanbureh,Lower Saloum,Kaur Wharf Town
The Gambia,Janjanbureh,Lower Saloum,Simbara Khai
The Gambia,Janjanbureh,Niamina Dankunku,Baro Kunda
The Gambia,Janjanbureh,Niamina Dankunku,Dankunku Mandinka
The Gambia,Janjanbureh,Niamina Dankunku,Jessadi
The Gambia,Janjanbureh,Niamina Dankunku,Touba Wollof (Sambang Wollof)
The Gambia,Janjanbureh,Niamina Dankunku,Welingara Elo (Niani Kunda)
The Gambia,Janjanbureh,Niamina Dankunku,Wellingara Yoro Bah (Kerr Layin)
The Gambia,Janjanbureh,Niamina East,Bantanto
The Gambia,Janjanbureh,Niamina East,Batti Njol
The Gambia,Janjanbureh,Niamina East,Jareng
The Gambia,Janjanbureh,Niamina East,Jockul
The Gambia,Janjanbureh,Niamina East,Kaolong
The Gambia,Janjanbureh,Niamina East,Kudang
The Gambia,Janjanbureh,Niamina East,Maka Mbayen
The Gambia,Janjanbureh,Niamina East,Mamud Fana
The Gambia,Janjanbureh,Niamina East,Mbayen
The Gambia,Janjanbureh,Niamina East,Pakala Kerr Biram
The Gambia,Janjanbureh,Niamina East,Pateh Sarm
The Gambia,Janjanbureh,Niamina East,Sambel Kunda
The Gambia,Janjanbureh,Niamina East,Sinchu Gundo
The Gambia,Janjanbureh,Niamina East,Sotokoi
The Gambia,Janjanbureh,Niamina West,Catamina
The Gambia,Janjanbureh,Niamina West,Choya
The Gambia,Janjanbureh,Niamina West,Dalaba
The Gambia,Janjanbureh,Niamina West,Madina Ma Ancha (Kerr Malima)
The Gambia,Janjanbureh,Niamina West,Nana
The Gambia,Janjanbureh,Niamina West,Pappa
The Gambia,Janjanbureh,Niamina West,Sambang Fula Kunda
