Region,Constituency,Station,Registered,,,,,,,,,,,,,,,
Janjanbureh,Niamina Dankunku,Dankunku Mandinka,896,,,,,,,,,,,,,,,
Janjanbureh,Niamina Dankunku,Jessadi,645,,,,,,,,,,,,,,,
Janjanbureh,Niamina Dankunku,Touba Wollof (Sambang Wollof),167,,,,,,,,,,,,,,,
Janjanbureh,Niamina Dankunku,Welingara Elo (Niani Kunda),324,,,,,,,,,,,,,,,
Janjanbureh,Niamina Dankunku,Wellingara Yoro Bah (Kerr Layin),829,,,,,,,,,,,,,,,
Janjanbureh,Niamina East,Bantanto,494,,,,,,,,,,,,,,,
Janjanbureh,Niamina East,Batti Njol,890,,,,,,,,,,,,,,,
Janjanbureh,Niamina East,Jareng,1384,,,,,,,,,,,,,,,
Janjanbureh,Niamina East,Jockul,529,,,,,,,,,,,,,,,
Janjanbureh,Niamina East,Kaolong,436,,,,,,,,,,,,,,,
Janjanbureh,Niamina East,Kudang,1804,,,,,,,,,,,,,,,
Janjanbureh,Niamina East,Maka Mbayen,1214,,,,,,,,,,,,,,,
Janjanbureh,Niamina East,Mamud Fana,1068,,,,,,,,,,,,,,,
Janjanbureh,Niamina East,Mbayen,466,,,,,,,,,,,,,,,
Janjanbureh,Niamina East,Pakala Kerr Biram,575,,,,,,,,,,,,,,,
Janjanbureh,Niamina East,Pateh Sarm,1253,,,,,,,,,,,,,,,
Janjanbureh,Niamina East,Sambel Kunda,1033,,,,,,,,,,,,,,,
Janjanbureh,Niamina East,Sinchu Gundo,1138,,,,,,,,,,,,,,,
Janjanbureh,Niamina East,Sotokoi,897,,,,,,,,,,,,,,,
Janjanbureh,Niamina West,Catamina,993,,,,,,,,,,,,,,,
Janjanbureh,Niamina West,Choya,342,,,,,,,,,,,,,,,
Janjanbureh,Niamina West,Dalaba,645,,,,,,,,,,,,,,,
Janjanbureh,Niamina West,Madina Ma Ancha (Kerr Malima),918,,,,,,,,,,,,,,,
Janjanbureh,Niamina West,Nana,416,,,,,,,,,,,,,,,
Janjanbureh,Niamina West,Pappa,719,,,,,,,,,,,,,,,
Janjanbureh,Niamina West,Sambang Fula Kunda,1052,,,,,,,,,,,,,,,
Janjanbureh,Niani,Dingirai,926,,,,,,,,,,,,,,,
Janjanbureh,Niani,Gingory Mustapha,801,,,,,,,,,,,,,,,
Janjanbureh,Niani,Jakaba,932,,,,,,,,,,,,,,,
Janjanbureh,Niani,Jockul Ndowen (Nodwen Angalleh),1112,,,,,,,,,,,,,,,
Janjanbureh,Niani,Kass Wollof,1277,,,,,,,,,,,,,,,
Janjanbureh,Niani,Kataba Alh. Omar,1077,,,,,,,,,,,,,,,
Janjanbureh,Niani,Kayai,553,,,,,,,,,,,,,,,
Janjanbureh,Niani,Kuntaur Wharf Town,508,,,,,,,,,,,,,,,
Janjanbureh,Niani,Mbayen Wollof,766,,,,,,,,,,,,,,,
Janjanbureh,Niani,Nyanga Bantang,1701,,,,,,,,,,,,,,,
Janjanbureh,Niani,Safalu,310,,,,,,,,,,,,,,,
Janjanbureh,Niani,Sait Maram,1199,,,,,,,,,,,,,,,
Janjanbureh,Niani,Sukuta,1071,,,,,,,,,,,,,,,
Janjanbureh,Niani,Wassu,1904,,,,,,,,,,,,,,,
Janjanbureh,Nianija,Bakadagi,579,,,,,,,,,,,,,,,
Janjanbureh,Nianija,Buduck,1291,,,,,,,,,,,,,,,
Janjanbureh,Nianija,Chamen,1895,,,,,,,,,,,,,,,
Janjanbureh,Nianija,Kerr Jebel,531,,,,,,,,,,,,,,,
Janjanbureh,Nianija,Palaeili,734,,,,,,,,,,,,,,,
Janjanbureh,Sami,Banni,331,,,,,,,,,,,,,,,
Janjanbureh,Sami,Baya Ba (Baya Edi Bah),969,,,,,,,,,,,,,,,
Janjanbureh,Sami,Changai Wollof,1505,,,,,,,,,,,,,,,
Janjanbureh,Sami,Dobo,994,,,,,,,,,,,,,,,
Janjanbureh,Sami,Jamali Ganyado,736,,,,,,,,,,,,,,,
Janjanbureh,Sami,Jarumeh Koto,965,,,,,,,,,,,,,,,
Janjanbureh,Sami,Karantaba,916,,,,,,,,,,,,,,,
Janjanbureh,Sami,Kibiri,458,,,,,,,,,,,,,,,
Janjanbureh,Sami,Kunting,923,,,,,,,,,,,,,,,
Janjanbureh,Sami,Lamin Koto,494,,,,,,,,,,,,,,,
Janjanbureh,Sami,Ranerou Samba Ngai,694,,,,,,,,,,,,,,,
Janjanbureh,Sami,Sami Medina,1217,,,,,,,,,,,,,,,
Janjanbureh,Sami,Sami Njalal Samba (Toro),408,,,,,,,,,,,,,,,
Janjanbureh,Sami,Sami Pachonki,1347,,,,,,,,,,,,,,,
Janjanbureh,Sami,Tabanani,608,,,,,,,,,,,,,,,
Janjanbureh,Sami,Tandi  Mandinka,637,,,,,,,,,,,,,,,
Janjanbureh,Sami,Yorna Musa,435,,,,,,,,,,,,,,,
Janjanbureh,Upper Fulladu West,Bansang  A,2417,,,,,,,,,,,,,,,
Janjanbureh,Upper Fulladu West,Bansang B,1745,,,,,,,,,,,,,,,
Janjanbureh,Upper Fulladu West,Bantanto,1302,,,,,,,,,,,,,,,
Janjanbureh,Upper Fulladu West,Boraba,538,,,,,,,,,,,,,,,
Janjanbureh,Upper Fulladu West,Cha Kunda Madina,659,,,,,,,,,,,,,,,
Janjanbureh,Upper Fulladu West,Chargel,763,,,,,,,,,,,,,,,
Janjanbureh,Upper Fulladu West,Daru,1136,,,,,,,,,,,,,,,
Janjanbureh,Upper Fulladu West,Dobang Kunda.Kebba,1305,,,,,,,,,,,,,,,
Janjanbureh,Upper Fulladu West,Fass Belal,1346,,,,,,,,,,,,,,,
Janjanbureh,Upper Fulladu West,Fugga,772,,,,,,,,,,,,,,,
Janjanbureh,Upper Fulladu West,Galleh Manda,1588,,,,,,,,,,,,,,,
Janjanbureh,Upper Fulladu West,Lala Gui (Sare Chewto),761,,,,,,,,,,,,,,,
Janjanbureh,Upper Fulladu West,Librass,549,,,,,,,,,,,,,,,
Janjanbureh,Upper Fulladu West,Medina Tunjang,744,,,,,,,,,,,,,,,
Janjanbureh,Upper Fulladu West,Ndikiri Kunda,532,,,,,,,,,,,,,,,
Janjanbureh,Upper Fulladu West,Ngayen (Kerr Njaga),626,,,,,,,,,,,,,,,
Janjanbureh,Upper Fulladu West,Pateh Gai (Kerr Pateh Gai),175,,,,,,,,,,,,,,,
Janjanbureh,Upper Fulladu West,Sam Pateh (Jahanka),1149,,,,,,,,,,,,,,,
Janjanbureh,Upper Fulladu West,Santanto Bubu,923,,,,,,,,,,,,,,,
Janjanbureh,Upper Fulladu West,Sare Pateh Jawo,1359,,,,,,,,,,,,,,,
Janjanbureh,Upper Fulladu West,Sare Silleri,828,,,,,,,,,,,,,,,
Janjanbureh,Upper Fulladu West,Sare Sofie,818,,,,,,,,,,,,,,,
Janjanbureh,Upper Fulladu West,Sololo Mandinka,766,,,,,,,,,,,,,,,
Janjanbureh,Upper Fulladu West,Tandi,393,,,,,,,,,,,,,,,
Janjanbureh,Upper Fulladu West,Tuba Ousman (Kerr Ousman Boye),562,,,,,,,,,,,,,,,
Janjanbureh,Upper Fulladu West,Wellingara Demba Kandeh,385,,,,,,,,,,,,,,,
Janjanbureh,Upper Fulladu West,Yoro Beri Kunda Mandinka,560,,,,,,,,,,,,,,,
Janjanbureh,Upper Saloum,Bantanto Ebrima Kah (Kerr Sulay),656,,,,,,,,,,,,,,,
Janjanbureh,Upper Saloum,Bantanto Kerr Laye,526,,,,,,,,,,,,,,,
Janjanbureh,Upper Saloum,Batti Ndarr,1417,,,,,,,,,,,,,,,
Janjanbureh,Upper Saloum,Fass,1172,,,,,,,,,,,,,,,
Janjanbureh,Upper Saloum,Jareng Madi Jama (Jareng Modou Warr),1256,,,,,,,,,,,,,,,
Janjanbureh,Upper Saloum,Kerr Auldi,841,,,,,,,,,,,,,,,
Janjanbureh,Upper Saloum,Njau,555,,,,,,,,,,,,,,,
Janjanbureh,Upper Saloum,Noiro Tukulor,1275,,,,,,,,,,,,,,,
Janjanbureh,Upper Saloum,Panchang,1570,,,,,,,,,,,,,,,
Kanifing,Bakau,Bakau Community Centre,1381,,,,,,,,,,,,,,,
Kanifing,Bakau,Bakau Farokono,939,,,,,,,,,,,,,,,
Kanifing,Bakau,Bakau Lower Basic Sch,428,,,,,,,,,,,,,,,
Kanifing,Bakau,Bakau Ubs (Independence Stadium),2102,,,,,,,,,,,,,,,
Kanifing,Bakau,Cape Point,1219,,,,,,,,,,,,,,,
Kanifing,Bakau,Fajara (Around Sabena Junction),1328,,,,,,,,,,,,,,,
Kanifing,Bakau,Fajara Hotel,529,,,,,,,,,,,,,,,
Kanifing,Bakau,Kachikally Cinema,1070,,,,,,,,,,,,,,,
Kanifing,Bakau,Mama Koto Road,1728,,,,,,,,,,,,,,,
Kanifing,Bakau,New Town Lower Basic Sch.,1659,,,,,,,,,,,,,,,
Kanifing,Bakau,Old Bakau Bantaba,481,,,,,,,,,,,,,,,
Kanifing,Bakau,Wasulunkunda Bantang Koto,1005,,,,,,,,,,,,,,,
Kanifing,Bundungka Kunda,Aren Babun Fatty,1378,,,,,,,,,,,,,,,
Kanifing,Bundungka Kunda,Bundung Bantaba  Street,723,,,,,,,,,,,,,,,
Kanifing,Bundungka Kunda,Bundung Borehole,3060,,,,,,,,,,,,,,,
Kanifing,Bundungka Kunda,Bundung Farokono (Third Hall),814,,,,,,,,,,,,,,,
Kanifing,Bundungka Kunda,Bundung Lower Basic Sch,1947,,,,,,,,,,,,,,,
Kanifing,Bundungka Kunda,Bundung Mosque,3007,,,,,,,,,,,,,,,
Kanifing,Bundungka Kunda,Bundung Six Junction,3173,,,,,,,,,,,,,,,
Kanifing,Bundungka Kunda,Bundung White House,1808,,,,,,,,,,,,,,,
Kanifing,Bundungka Kunda,Mauritania School,2712,,,,,,,,,,,,,,,
Kanifing,Bundungka Kunda,Medina Fass Mosque,1671,,,,,,,,,,,,,,,
Kanifing,Bundungka Kunda,Nusrat Sen. Sec Sch.,1517,,,,,,,,,,,,,,,
Kanifing,Bundungka Kunda,Serekunda East Mini Studium,1930,,,,,,,,,,,,,,,
Kanifing,Jeshwang,Abc Schools,357,,,,,,,,,,,,,,,
Kanifing,Jeshwang,Ebo Town Badala,1349,,,,,,,,,,,,,,,
Kanifing,Jeshwang,Ebo Town Big Tree,1338,,,,,,,,,,,,,,,
Kanifing,Jeshwang,Ebo Town Mosque,2464,,,,,,,,,,,,,,,
Kanifing,Jeshwang,Ebo Town Sanchaba,2502,,,,,,,,,,,,,,,
Kanifing,Jeshwang,Kanifing Estate Comm. Centre,2026,,,,,,,,,,,,,,,
Kanifing,Jeshwang,Kanifing Layout,901,,,,,,,,,,,,,,,
Kanifing,Jeshwang,Kanifing South Mosque,1911,,,,,,,,,,,,,,,
Kanifing,Jeshwang,Kussabia Mosque,1112,,,,,,,,,,,,,,,
Kanifing,Jeshwang,Latrikunda Lower Basic Sch.,465,,,,,,,,,,,,,,,
Kanifing,Jeshwang,New Jeshwang  (Cotton Street),1755,,,,,,,,,,,,,,,
Kanifing,Jeshwang,New Jeshwang (Kandiba) Lower Basic Sch.,2058,,,,,,,,,,,,,,,
Kanifing,Jeshwang,New Jeshwang Bantaba,2112,,,,,,,,,,,,,,,
Kanifing,Jeshwang,New Jeshwang Mosque,1559,,,,,,,,,,,,,,,
Kanifing,Jeshwang,Nuru Arabic Sch (Sankung Sillah),399,,,,,,,,,,,,,,,
Kanifing,Jeshwang,Old Jeshwang (Living Children Academy),903,,,,,,,,,,,,,,,
Kanifing,Jeshwang,Old Jeshwang Jalatali (Black School Arabic),703,,,,,,,,,,,,,,,
Kanifing,Jeshwang,Old Jeshwang Lower Basic Sch,2524,,,,,,,,,,,,,,,
Kanifing,Jeshwang,Serekunda Post Office,512,,,,,,,,,,,,,,,
Kanifing,Latrikunda Sabiji,Abuko Health Centre,266,,,,,,,,,,,,,,,
Kanifing,Latrikunda Sabiji,Abuko Upper Basic Sch.,4303,,,,,,,,,,,,,,,
Kanifing,Latrikunda Sabiji,Abuko Vet Camp,4820,,,,,,,,,,,,,,,
Kanifing,Latrikunda Sabiji,Faji Kunda Bantaba,3749,,,,,,,,,,,,,,,
Kanifing,Latrikunda Sabiji,Faji Kunda Community Centre,1272,,,,,,,,,,,,,,,
Kanifing,Latrikunda Sabiji,Fajikunda Bajonkoto (Abdullah Bun Saud Arabic Sch),2626,,,,,,,,,,,,,,,
Kanifing,Latrikunda Sabiji,Fajikunda Mosque,1802,,,,,,,,,,,,,,,
Kanifing,Latrikunda Sabiji,Latrikunda Piccadilly,2969,,,,,,,,,,,,,,,
Kanifing,Latrikunda Sabiji,Latrikunda Sabiji Castle Petrol Station,2699,,,,,,,,,,,,,,,
Kanifing,Latrikunda Sabiji,Latrikunda Sabijie Lower Basic Sch.,3658,,,,,,,,,,,,,,,
Kanifing,Latrikunda Sabiji,Latrikunda Sabijie Mosque (For Fajikunda),2076,,,,,,,,,,,,,,,
Kanifing,Latrikunda Sabiji,Latrikunda Sabijii Behind Market,2097,,,,,,,,,,,,,,,
Kanifing,Latrikunda Sabiji,Rex Nursery Sch.,2477,,,,,,,,,,,,,,,
Kanifing,Latrikunda Sabiji,St. Charles Lwanga Lbs,2037,,,,,,,,,,,,,,,
Kanifing,Serekunda,Christian Mission Church London,945,,,,,,,,,,,,,,,
Kanifing,Serekunda,Jangjang Road,1997,,,,,,,,,,,,,,,
Kanifing,Serekunda,Marche Ngelew,3943,,,,,,,,,,,,,,,
Kanifing,Serekunda,Plaza Cinema,2885,,,,,,,,,,,,,,,
Kanifing,Serekunda,Serekunda  (Gadafi Mosque),701,,,,,,,,,,,,,,,
Kanifing,Serekunda,Serekunda Bartez (Christ Church),1371,,,,,,,,,,,,,,,
Kanifing,Serekunda,Serekunda Lower Basic Sch.,2127,,,,,,,,,,,,,,,
Kanifing,Serekunda West,Aisa Marie Cinema,613,,,,,,,,,,,,,,,
Kanifing,Serekunda West,Aren Betty Khan (Divine Prep. Sch.),472,,,,,,,,,,,,,,,
Kanifing,Serekunda West,Bakoteh Bantaba,3251,,,,,,,,,,,,,,,
Kanifing,Serekunda West,Bakoteh Borehole,2023,,,,,,,,,,,,,,,
Kanifing,Serekunda West,Bakoteh Layout,2460,,,,,,,,,,,,,,,
Kanifing,Serekunda West,Bakoteh Lower Basic Sch.,1907,,,,,,,,,,,,,,,
Kanifing,Serekunda West,Cider Club,798,,,,,,,,,,,,,,,
Kanifing,Serekunda West,Dippa Kunda Chupe Town .,2452,,,,,,,,,,,,,,,
Kanifing,Serekunda West,Dippa Kunda Mosque,2707,,,,,,,,,,,,,,,
Kanifing,Serekunda West,Erenjang Nurs. Sch,355,,,,,,,,,,,,,,,
Kanifing,Serekunda West,Former Senegambia Garage,1575,,,,,,,,,,,,,,,
Kanifing,Serekunda West,Kololi (Johaness ),1026,,,,,,,,,,,,,,,
Kanifing,Serekunda West,Kololi Mosque,3421,,,,,,,,,,,,,,,
Kanifing,Serekunda West,Kotu Community Centre,870,,,,,,,,,,,,,,,
Kanifing,Serekunda West,Kotu Layout (Football Field),1716,,,,,,,,,,,,,,,
Kanifing,Serekunda West,Kotu Power Station (Masjid Sara Maco5),794,,,,,,,,,,,,,,,
Kanifing,Serekunda West,Kotu Quarry,2699,,,,,,,,,,,,,,,
Kanifing,Serekunda West,Latrikunda Upper Basic Sch .,750,,,,,,,,,,,,,,,
Kanifing,Serekunda West,Latrikunda Yiringanya  Opp. Mb Sarr,1198,,,,,,,,,,,,,,,
Kanifing,Serekunda West,Latrikunda Yiringanya Mosque,2887,,,,,,,,,,,,,,,
Kanifing,Serekunda West,Manjai Kunda Gidda,1514,,,,,,,,,,,,,,,
Kanifing,Serekunda West,Manjai Kunda Market,3296,,,,,,,,,,,,,,,
Kanifing,Serekunda West,Manjai Sanchaba (Leader'S Lbs),772,,,,,,,,,,,,,,,
Kanifing,Serekunda West,Pipeline Mosque,2176,,,,,,,,,,,,,,,
Kanifing,Serekunda West,Serekunda West Mini Stadium,2655,,,,,,,,,,,,,,,
Kanifing,Tallinding Kunjang,Buffer Zone,3267,,,,,,,,,,,,,,,
Kanifing,Tallinding Kunjang,J.T.T. Nur Sch (North),2116,,,,,,,,,,,,,,,
Kanifing,Tallinding Kunjang,J.T.T. Nur Sch (South),1490,,,,,,,,,,,,,,,
Kanifing,Tallinding Kunjang,Jilfit Kunda (Kairaba Nur. Sch),1742,,,,,,,,,,,,,,,
Kanifing,Tallinding Kunjang,Tallinding Bantaba,3332,,,,,,,,,,,,,,,
Kanifing,Tallinding Kunjang,Tallinding Dutokoto,2488,,,,,,,,,,,,,,,
Kanifing,Tallinding Kunjang,Tallinding Islamic Institute,1038,,,,,,,,,,,,,,,
Kanifing,Tallinding Kunjang,Tallinding Lower Basic Sch.,2439,,,,,,,,,,,,,,,
Kanifing,Tallinding Kunjang,Tallinding Medina,2122,,,,,,,,,,,,,,,
Kerewan,Central Baddibu,Daru Rilwan Health Post,1251,,,,,,,,,,,,,,,
Kerewan,Central Baddibu,Kerr Katim Wollof Bantaba,641,,,,,,,,,,,,,,,
Kerewan,Central Baddibu,Kerr Pateh Kore Seed Store,1201,,,,,,,,,,,,,,,
Kerewan,Central Baddibu,Kinteh Kunda Marong  Kunda Bantaba,489,,,,,,,,,,,,,,,
Kerewan,Central Baddibu,Mandory  Health Post,425,,,,,,,,,,,,,,,
Kerewan,Central Baddibu,Minteh Kunda Bantaba,451,,,,,,,,,,,,,,,
Kerewan,Central Baddibu,Nawlaru Bantaba,1171,,,,,,,,,,,,,,,
Kerewan,Central Baddibu,Njaba Kunda Bantaba,1328,,,,,,,,,,,,,,,
Kerewan,Central Baddibu,Salikenne Market,2209,,,,,,,,,,,,,,,
Kerewan,Central Baddibu,Wellingara Bantaba,309,,,,,,,,,,,,,,,
Kerewan,Illiassa,Alkali Kunda,415,,,,,,,,,,,,,,,
Kerewan,Illiassa,Ballingho Health Centre,141,,,,,,,,,,,,,,,
Kerewan,Illiassa,Chamen Bantaba,276,,,,,,,,,,,,,,,
Kerewan,Illiassa,Conteh Kunda Niji Bantaba,516,,,,,,,,,,,,,,,
Kerewan,Illiassa,Conteh Kunda Sukoto Bantaba,336,,,,,,,,,,,,,,,
Kerewan,Illiassa,Dutu Bulu Bantaba,218,,,,,,,,,,,,,,,
Kerewan,Illiassa,Farafeni Mauritanie. Pri. Sch,3454,,,,,,,,,,,,,,,
Kerewan,Illiassa,Farafeni Pri Sch,4548,,,,,,,,,,,,,,,
Kerewan,Illiassa,Farafenni Library,2716,,,,,,,,,,,,,,,
Kerewan,Illiassa,Farafenni Sen Sec Sch,229,,,,,,,,,,,,,,,
Kerewan,Illiassa,Farafenni Wharf Town,509,,,,,,,,,,,,,,,
Kerewan,Illiassa,Illiassa Bantaba,848,,,,,,,,,,,,,,,
Kerewan,Illiassa,Jajari Bantaba,283,,,,,,,,,,,,,,,
Kerewan,Illiassa,Jerico Wollof Bantaba,609,,,,,,,,,,,,,,,
Kerewan,Illiassa,Jigimar Bantaba,963,,,,,,,,,,,,,,,
Kerewan,Illiassa,Jumansariba Health Centre,393,,,,,,,,,,,,,,,
Kerewan,Illiassa,Katchang Bantaba,887,,,,,,,,,,,,,,,
Kerewan,Illiassa,Kekuta Kunda Bantaba,495,,,,,,,,,,,,,,,
Kerewan,Illiassa,Kerr Ali Bantaba,799,,,,,,,,,,,,,,,
Kerewan,Illiassa,Kubandar Bantaba,292,,,,,,,,,,,,,,,
Kerewan,Illiassa,Maka Farafenni Bantaba,971,,,,,,,,,,,,,,,
Kerewan,Illiassa,Noo Kunda Bantaba,1183,,,,,,,,,,,,,,,
Kerewan,Illiassa,Nyeribaya Bantaba,439,,,,,,,,,,,,,,,
Kerewan,Illiassa,Yallal Tankonjala Bantaba,516,,,,,,,,,,,,,,,
Kerewan,Illiassa,Youna Bantaba,412,,,,,,,,,,,,,,,
Kerewan,Jokadou,Bali Mandinka School,863,,,,,,,,,,,,,,,
Kerewan,Jokadou,Darusalam (Kerr Matar Sarr) Bantaba,623,,,,,,,,,,,,,,,
Kerewan,Jokadou,Dasilameh Bantaba,919,,,,,,,,,,,,,,,
Kerewan,Jokadou,Gissa (Kerr Amadou Fayel.) Bantaba,820,,,,,,,,,,,,,,,
Kerewan,Jokadou,Karantaba Health Centre,459,,,,,,,,,,,,,,,
Kerewan,Jokadou,Kerr Jarga Jobe Health Centre,706,,,,,,,,,,,,,,,
Kerewan,Jokadou,Kerr Majaw (Chessay) Bantaba,953,,,,,,,,,,,,,,,
Kerewan,Jokadou,Kerr Omar Saine Bantaba,592,,,,,,,,,,,,,,,
Kerewan,Jokadou,Kerr Selleh  Health Centre,723,,,,,,,,,,,,,,,
Kerewan,Jokadou,Kuntaya Bantaba,1145,,,,,,,,,,,,,,,
Kerewan,Jokadou,Madina Modum (Bantndingwollof) Bantaba,1263,,,,,,,,,,,,,,,
Kerewan,Jokadou,Munyagen Health Centre,964,,,,,,,,,,,,,,,
Kerewan,Jokadou,Passy Ngayen (Kerr Alagie Malick) Bantaba,461,,,,,,,,,,,,,,,
Kerewan,Jokadou,Tambana Old Visaca Bank,513,,,,,,,,,,,,,,,
Kerewan,Jokadou,Toro Alasan Bantaba,353,,,,,,,,,,,,,,,
Kerewan,Lower Baddibu,Banni Bantaba,633,,,,,,,,,,,,,,,
Kerewan,Lower Baddibu,Gunjur Bantaba,614,,,,,,,,,,,,,,,
Kerewan,Lower Baddibu,Kerewan Old Market,2261,,,,,,,,,,,,,,,
Kerewan,Lower Baddibu,Kerr Ardo Bantaba,790,,,,,,,,,,,,,,,
Kerewan,Lower Baddibu,Kinteh Kunda Janneh Yaa Bantaba,523,,,,,,,,,,,,,,,
Kerewan,Lower Baddibu,Mbamori Kunda Health Centre,1014,,,,,,,,,,,,,,,
Kerewan,Lower Baddibu,Njawara Bantaba,549,,,,,,,,,,,,,,,
Kerewan,Lower Baddibu,Saaba Bantaba,1157,,,,,,,,,,,,,,,
Kerewan,Lower Baddibu,Suwareh Kunda Bantaba,755,,,,,,,,,,,,,,,
Kerewan,Lower Baddibu,Toroba Bantaba,621,,,,,,,,,,,,,,,
Kerewan,Lower Nuimi,Bakindick Mandinka Bantaba,809,,,,,,,,,,,,,,,
Kerewan,Lower Nuimi,Barra  Bantaba ( Near Alkalo'S Comp),2718,,,,,,,,,,,,,,,
Kerewan,Lower Nuimi,Berending Skill Centre,963,,,,,,,,,,,,,,,
Kerewan,Lower Nuimi,Buniadu Health Centre,620,,,,,,,,,,,,,,,
Kerewan,Lower Nuimi,Chamen Bantaba,570,,,,,,,,,,,,,,,
Kerewan,Lower Nuimi,Essau  A Old Vet,2692,,,,,,,,,,,,,,,
Kerewan,Lower Nuimi,Essau B Sen Sec Sch,629,,,,,,,,,,,,,,,
Kerewan,Lower Nuimi,Fass Njaga Choi Video Hall,1638,,,,,,,,,,,,,,,
Kerewan,Lower Nuimi,Hamdalai Mosque,1187,,,,,,,,,,,,,,,
Kerewan,Lower Nuimi,Jagleh (Kerr Wally) Bantaba,491,,,,,,,,,,,,,,,
Kerewan,Lower Nuimi,Jinack Kajata Banatba,670,,,,,,,,,,,,,,,
Kerewan,Lower Nuimi,Kanuma Youth Centre,936,,,,,,,,,,,,,,,
Kerewan,Lower Nuimi,Kerr Jatta Bantaba,703,,,,,,,,,,,,,,,
Kerewan,Lower Nuimi,Kerr Malick Sarr Bantaba,454,,,,,,,,,,,,,,,
Kerewan,Lower Nuimi,Madina Kanuma Bantaba,806,,,,,,,,,,,,,,,
Kerewan,Lower Nuimi,Maka Bala Manneh Bantaba,772,,,,,,,,,,,,,,,
Kerewan,Lower Nuimi,Mbollet Ba Bantaba,1330,,,,,,,,,,,,,,,
Kerewan,Lower Nuimi,Medina Manneh Bantaba,315,,,,,,,,,,,,,,,
Kerewan,Lower Nuimi,Medina Sering Mass Bantaba At New Mosque,2041,,,,,,,,,,,,,,,
Kerewan,Lower Nuimi,Misiranding Bantaba,837,,,,,,,,,,,,,,,
Kerewan,Lower Nuimi,Ndofan First Aid Centre,555,,,,,,,,,,,,,,,
Kerewan,Lower Nuimi,Ndungu Charen Bantaba,663,,,,,,,,,,,,,,,
Kerewan,Lower Nuimi,Ndungu Kebbeh Bantaba,1996,,,,,,,,,,,,,,,
Kerewan,Lower Nuimi,Njongon Bantaba,1001,,,,,,,,,,,,,,,
Kerewan,Lower Nuimi,Samba Kalla Health Centre,616,,,,,,,,,,,,,,,
Kerewan,Lower Nuimi,Samba Njabeh Bantaba,522,,,,,,,,,,,,,,,
Kerewan,Lower Nuimi,Sami Sotokoi (Sami Essau) Bantaba,530,,,,,,,,,,,,,,,
Kerewan,Lower Nuimi,Sare Bohoum (Kerr Omar Jawara ) Bantaba,362,,,,,,,,,,,,,,,
Kerewan,Lower Nuimi,Tuba Angalleh Bantaba,719,,,,,,,,,,,,,,,
Kerewan,Sabach Sanjal,Bambali Bantaba,544,,,,,,,,,,,,,,,
Kerewan,Sabach Sanjal,Bassic Bantaba,305,,,,,,,,,,,,,,,
Kerewan,Sabach Sanjal,Daffa Bantaba,341,,,,,,,,,,,,,,,
Kerewan,Sabach Sanjal,Dibba Kunda Wollof Bantaba,1028,,,,,,,,,,,,,,,
Kerewan,Sabach Sanjal,Kani Kunda Bantaba,555,,,,,,,,,,,,,,,
Kerewan,Sabach Sanjal,Kataba Mandinka Health Centre,674,,,,,,,,,,,,,,,
Kerewan,Sabach Sanjal,Kumbija Arabic Sch,367,,,,,,,,,,,,,,,
Kerewan,Sabach Sanjal,Kunjata Bantaba,184,,,,,,,,,,,,,,,
Kerewan,Sabach Sanjal,Kussasai (Kunjo) Bantaba,700,,,,,,,,,,,,,,,
Kerewan,Sabach Sanjal,Loumen Bantaba,833,,,,,,,,,,,,,,,
Kerewan,Sabach Sanjal,Mballow Omar (Sinchu Sanjal) Bantaba,752,,,,,,,,,,,,,,,
Kerewan,Sabach Sanjal,Mbapa Mariga School,741,,,,,,,,,,,,,,,
Kerewan,Sabach Sanjal,Ngayen Sanjal Bantaba,2227,,,,,,,,,,,,,,,
Kerewan,Sabach Sanjal,Nyangen (Challa) Bantaba,482,,,,,,,,,,,,,,,
Kerewan,Sabach Sanjal,Palen Wolof Health Cente,904,,,,,,,,,,,,,,,
Kerewan,Sabach Sanjal,Sabach Sukoto Bantaba,933,,,,,,,,,,,,,,,
Kerewan,Sabach Sanjal,Sara Kunda Bantaba,786,,,,,,,,,,,,,,,
Kerewan,Sabach Sanjal,Sinchu Palen Bantaba,221,,,,,,,,,,,,,,,
Kerewan,Upper Nuimi,Albreda School,880,,,,,,,,,,,,,,,
Kerewan,Upper Nuimi,Aljamdu Bantaba,522,,,,,,,,,,,,,,,
Kerewan,Upper Nuimi,Bakalar Medina Bantaba,1172,,,,,,,,,,,,,,,
Kerewan,Upper Nuimi,Biran Kanni Bantaba,683,,,,,,,,,,,,,,,
Kerewan,Upper Nuimi,Chilla Health Centre,1242,,,,,,,,,,,,,,,
Kerewan,Upper Nuimi,Darusalam Bantaba,532,,,,,,,,,,,,,,,
Kerewan,Upper Nuimi,Fass Omar Saho  Health Centre,2254,,,,,,,,,,,,,,,
Kerewan,Upper Nuimi,Jurunku Bantaba,459,,,,,,,,,,,,,,,
Kerewan,Upper Nuimi,Kabakoto Bantaba,780,,,,,,,,,,,,,,,
Kerewan,Upper Nuimi,Kerr Chebo Jallow (Kayal) Bantaba,626,,,,,,,,,,,,,,,
Kerewan,Upper Nuimi,Lamin School,1121,,,,,,,,,,,,,,,
Kerewan,Upper Nuimi,Madina Sidiya Bantaba,1037,,,,,,,,,,,,,,,
Kerewan,Upper Nuimi,Medina Bafuloto Market,812,,,,,,,,,,,,,,,
